,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
10,WHEAT-SRW - CHICAGO BOARD OF TRADE,220412,2022-04-12,001602,CBT ,0,1,338271,119566,95680,60548,125657,146915,305771,303143,32500,35128,55331,28828,30699,1424,16410,17374,46662,49497,8669,5834,282940,106879,81122,42983,109247,129541,259109,253646,23831,29294,-6344.0,5279.0,1344.0,-6274.0,-5948.0,-22.0,-6943.0,-4952.0,599.0,-1392.0,100,35.3,28.3,17.9,37.1,43.4,90.4,89.6,9.6,10.4,100,52.1,55.5,2.6,29.7,31.4,84.3,89.5,15.7,10.5,100,37.8,28.7,15.2,38.6,45.8,91.6,89.6,8.4,10.4,324,101,74,113,80,116,249,247,219,70,46,16,43,66,120,121,311,97,75,96,70,110,225,231,16.5,12.5,28.4,20.9,16.5,10.7,28.2,18.3,17.3,29.2,28.6,40.9,17.3,29.2,28.6,40.6,17.6,13.7,30.4,23.4,17.6,12.4,30.0,20.1,"(CONTRACTS OF 5,000 BUSHELS)"
11,WHEAT-SRW - CHICAGO BOARD OF TRADE,220405,2022-04-05,001602,CBT ,0,1,344615,114287,94336,66822,131605,146937,312714,308095,31901,36520,114193,47924,58313,870,53997,44503,102791,103686,11402,10507,230422,95032,64692,37283,77608,102434,209923,204409,20499,26013,3391.0,1347.0,-5045.0,7887.0,-6683.0,-786.0,2551.0,2056.0,840.0,1335.0,100,33.2,27.4,19.4,38.2,42.6,90.7,89.4,9.3,10.6,100,42.0,51.1,0.8,47.3,39.0,90.0,90.8,10.0,9.2,100,41.2,28.1,16.2,33.7,44.5,91.1,88.7,8.9,11.3,311,99,67,104,83,116,243,235,244,67,62,20,36,84,113,156,282,96,54,74,73,103,210,195,16.9,13.7,28.9,22.6,16.8,10.6,28.1,18.3,26.6,22.3,44.9,35.2,26.6,22.3,44.9,35.2,17.0,18.2,29.1,28.9,17.0,15.8,28.0,25.0,"(CONTRACTS OF 5,000 BUSHELS)"
12,WHEAT-SRW - CHICAGO BOARD OF TRADE,220329,2022-03-29,001602,CBT ,0,1,341224,112940,99381,58935,138288,147723,310163,306039,31061,35185,124312,53338,59898,1210,58257,51571,112805,112679,11507,11633,216912,81210,61091,36117,80031,96152,197358,193360,19554,23552,-4121.0,-470.0,-4539.0,4636.0,-6856.0,-4451.0,-2690.0,-4354.0,-1431.0,233.0,100,33.1,29.1,17.3,40.5,43.3,90.9,89.7,9.1,10.3,100,42.9,48.2,1.0,46.9,41.5,90.7,90.6,9.3,9.4,100,37.4,28.2,16.7,36.9,44.3,91.0,89.1,9.0,10.9,316,101,71,101,83,116,241,240,261,68,74,19,35,89,113,172,278,88,57,65,74,102,202,190,17.5,14.4,28.7,23.1,17.3,11.1,28.3,19.5,27.8,17.9,46.4,30.9,27.8,17.9,46.4,30.9,16.3,19.2,28.3,30.6,15.8,16.8,26.8,26.4,"(CONTRACTS OF 5,000 BUSHELS)"
13,WHEAT-SRW - CHICAGO BOARD OF TRADE,220322,2022-03-22,001602,CBT ,0,1,345345,113410,103920,54299,145144,152174,312853,310393,32492,34952,130265,51967,59051,2582,62992,56615,117541,118248,12724,12017,215080,77202,60628,35958,82152,95559,195312,192145,19768,22935,5441.0,2796.0,4236.0,3139.0,-2273.0,-495.0,3662.0,6880.0,1779.0,-1439.0,100,32.8,30.1,15.7,42.0,44.1,90.6,89.9,9.4,10.1,100,39.9,45.3,2.0,48.4,43.5,90.2,90.8,9.8,9.2,100,35.9,28.2,16.7,38.2,44.4,90.8,89.3,9.2,10.7,318,104,70,95,87,118,241,240,267,73,74,19,40,86,120,172,276,88,53,60,77,105,198,190,17.6,14.3,28.6,23.1,17.4,11.1,28.0,19.5,27.7,14.4,45.5,26.1,27.7,14.4,45.5,26.1,15.8,18.8,27.5,30.2,15.5,16.0,26.1,25.0,"(CONTRACTS OF 5,000 BUSHELS)"
14,WHEAT-SRW - CHICAGO BOARD OF TRADE,220315,2022-03-15,001602,CBT ,0,1,339904,110614,99684,51160,147417,152669,309191,303513,30713,36391,132069,51794,55737,2966,65021,60013,119781,118716,12288,13353,207835,72344,57471,34670,82396,92656,189410,184797,18425,23038,-3092.0,-2594.0,-899.0,207.0,-741.0,-985.0,-3128.0,-1677.0,36.0,-1415.0,100,32.5,29.3,15.1,43.4,44.9,91.0,89.3,9.0,10.7,100,39.2,42.2,2.2,49.2,45.4,90.7,89.9,9.3,10.1,100,34.8,27.7,16.7,39.6,44.6,91.1,88.9,8.9,11.1,316,110,63,95,89,115,245,234,265,73,72,23,37,89,121,173,273,86,52,60,82,103,204,185,18.2,14.4,29.3,23.6,18.0,11.4,28.4,19.9,27.8,16.0,46.1,27.7,27.8,16.0,46.1,27.7,15.9,19.8,27.7,30.9,15.1,16.6,26.1,25.3,"(CONTRACTS OF 5,000 BUSHELS)"
15,WHEAT-SRW - CHICAGO BOARD OF TRADE,220308,2022-03-08,001602,CBT ,0,1,342996,113208,100583,50953,148158,153654,312319,305190,30677,37806,143404,55979,58428,5369,70367,64202,131715,127999,11689,15405,199592,71361,56287,31452,77791,89452,180604,177191,18988,22401,-29128.0,8274.0,2092.0,-27878.0,-8944.0,-3145.0,-28548.0,-28931.0,-580.0,-197.0,100,33.0,29.3,14.9,43.2,44.8,91.1,89.0,8.9,11.0,100,39.0,40.7,3.7,49.1,44.8,91.8,89.3,8.2,10.7,100,35.8,28.2,15.8,39.0,44.8,90.5,88.8,9.5,11.2,334,107,79,103,89,112,257,245,289,75,93,22,38,89,125,192,279,88,57,68,81,99,212,188,18.2,13.6,29.9,22.8,18.0,11.7,29.0,20.1,27.8,15.2,44.3,26.6,27.8,15.2,44.3,26.5,16.5,19.2,28.8,30.0,16.1,18.0,27.7,26.7,"(CONTRACTS OF 5,000 BUSHELS)"
16,WHEAT-SRW - CHICAGO BOARD OF TRADE,220301,2022-03-01,001602,CBT ,0,1,372124,104934,98491,78831,157102,156799,340867,334121,31257,38003,164809,67467,70987,5712,76181,71673,149360,148372,15449,16437,207315,68585,58622,42001,80921,85126,191507,185749,15808,21566,-7184.0,7259.0,-3086.0,-14359.0,2454.0,12780.0,-4646.0,-4665.0,-2538.0,-2519.0,100,28.2,26.5,21.2,42.2,42.1,91.6,89.8,8.4,10.2,100,40.9,43.1,3.5,46.2,43.5,90.6,90.0,9.4,10.0,100,33.1,28.3,20.3,39.0,41.1,92.4,89.6,7.6,10.4,342,116,81,107,80,114,254,254,300,95,84,22,40,85,146,181,275,86,61,66,67,103,193,196,16.8,15.0,28.6,24.1,15.8,10.9,26.4,18.4,26.2,19.8,40.4,30.9,26.2,19.5,40.4,30.2,17.5,19.5,29.2,32.0,12.4,17.8,22.4,26.5,"(CONTRACTS OF 5,000 BUSHELS)"
17,WHEAT-SRW - CHICAGO BOARD OF TRADE,220222,2022-02-22,001602,CBT ,0,1,379308,97675,101577,93190,154648,144019,345513,338786,33795,40522,191113,71702,80608,20958,79522,70473,172182,172039,18931,19074,188195,59519,54515,38686,75126,73546,173331,166747,14864,21448,-22924.0,-8947.0,-10891.0,-10970.0,-2210.0,-2826.0,-22127.0,-24687.0,-797.0,1763.0,100,25.8,26.8,24.6,40.8,38.0,91.1,89.3,8.9,10.7,100,37.5,42.2,11.0,41.6,36.9,90.1,90.0,9.9,10.0,100,31.6,29.0,20.6,39.9,39.1,92.1,88.6,7.9,11.4,341,110,89,115,76,101,255,254,306,94,93,48,54,83,176,199,262,79,64,67,58,89,178,189,15.9,11.4,26.4,19.9,15.7,9.4,24.9,15.4,20.1,16.0,31.7,26.4,20.1,15.0,31.5,24.3,17.0,18.6,30.1,28.0,13.7,16.4,24.7,23.3,"(CONTRACTS OF 5,000 BUSHELS)"
18,WHEAT-SRW - CHICAGO BOARD OF TRADE,220215,2022-02-15,001602,CBT ,0,1,402232,106622,112468,104160,156858,146845,367640,363473,34592,38759,219300,85611,93894,28980,83447,77155,198038,200029,21262,19271,182932,56292,53855,39899,73411,69690,169602,163444,13330,19488,17060.0,2737.0,5005.0,11541.0,4646.0,2605.0,18924.0,19151.0,-1864.0,-2091.0,100,26.5,28.0,25.9,39.0,36.5,91.4,90.4,8.6,9.6,100,39.0,42.8,13.2,38.1,35.2,90.3,91.2,9.7,8.8,100,30.8,29.4,21.8,40.1,38.1,92.7,89.3,7.3,10.7,356,103,98,133,85,106,271,279,321,90,103,74,65,83,198,225,264,77,66,72,59,90,181,196,15.6,10.5,25.5,19.0,14.7,9.6,23.9,16.3,18.5,15.4,30.6,25.7,18.5,14.7,30.6,24.1,17.1,18.2,30.7,27.7,13.6,15.9,24.4,23.3,"(CONTRACTS OF 5,000 BUSHELS)"
19,WHEAT-SRW - CHICAGO BOARD OF TRADE,220208,2022-02-08,001602,CBT ,0,1,385172,103885,107463,92619,152212,144240,348716,344322,36456,40850,214888,84286,87696,25491,81333,79791,191110,192978,23778,21910,170284,47228,47396,39499,70879,64449,157606,151344,12678,18940,-5990.0,-1542.0,2386.0,-9552.0,2224.0,-648.0,-8870.0,-7814.0,2880.0,1824.0,100,27.0,27.9,24.0,39.5,37.4,90.5,89.4,9.5,10.6,100,39.2,40.8,11.9,37.8,37.1,88.9,89.8,11.1,10.2,100,27.7,27.8,23.2,41.6,37.8,92.6,88.9,7.4,11.1,352,108,97,127,87,104,268,271,320,96,96,76,64,87,197,226,251,72,60,58,63,87,172,177,15.8,10.8,26.7,18.9,15.0,9.3,24.7,15.8,20.0,14.3,32.2,23.2,19.4,13.3,31.6,22.0,18.2,18.7,32.2,28.6,14.3,15.3,24.8,23.2,"(CONTRACTS OF 5,000 BUSHELS)"
